DateKey	Year	MonthNum	MonthFull	MonthAbbr	QuarterNum	QuarterFull	QuarterNameAbbr	YearAndQuarterNum	YearAndMonthNum	QuarterAndYearAbbr	MonthAndYearAbbr	MonthAndYear	QuarterAndYear
17/05/2012	2012	5	May	May	2	Quarter 2	Q2	20122	201205	Q2 2012	May 2012	May-12	Quarter 2 2012
18/05/2012	2012	5	May	May	2	Quarter 2	Q2	20122	201205	Q2 2012	May 2012	May-12	Quarter 2 2012
19/05/2012	2012	5	May	May	2	Quarter 2	Q2	20122	201205	Q2 2012	May 2012	May-12	Quarter 2 2012
20/05/2012	2012	5	May	May	2	Quarter 2	Q2	20122	201205	Q2 2012	May 2012	May-12	Quarter 2 2012
21/05/2012	2012	5	May	May	2	Quarter 2	Q2	20122	201205	Q2 2012	May 2012	May-12	Quarter 2 2012
22/05/2012	2012	5	May	May	2	Quarter 2	Q2	20122	201205	Q2 2012	May 2012	May-12	Quarter 2 2012
23/05/2012	2012	5	May	May	2	Quarter 2	Q2	20122	201205	Q2 2012	May 2012	May-12	Quarter 2 2012
24/05/2012	2012	5	May	May	2	Quarter 2	Q2	20122	201205	Q2 2012	May 2012	May-12	Quarter 2 2012
25/05/2012	2012	5	May	May	2	Quarter 2	Q2	20122	201205	Q2 2012	May 2012	May-12	Quarter 2 2012
26/05/2012	2012	5	May	May	2	Quarter 2	Q2	20122	201205	Q2 2012	May 2012	May-12	Quarter 2 2012
27/05/2012	2012	5	May	May	2	Quarter 2	Q2	20122	201205	Q2 2012	May 2012	May-12	Quarter 2 2012
28/05/2012	2012	5	May	May	2	Quarter 2	Q2	20122	201205	Q2 2012	May 2012	May-12	Quarter 2 2012
29/05/2012	2012	5	May	May	2	Quarter 2	Q2	20122	201205	Q2 2012	May 2012	May-12	Quarter 2 2012
30/05/2012	2012	5	May	May	2	Quarter 2	Q2	20122	201205	Q2 2012	May 2012	May-12	Quarter 2 2012
31/05/2012	2012	5	May	May	2	Quarter 2	Q2	20122	201205	Q2 2012	May 2012	May-12	Quarter 2 2012
01/06/2012	2012	6	June	Jun	2	Quarter 2	Q2	20122	201206	Q2 2012	Jun 2012	Jun-12	Quarter 2 2012
02/06/2012	2012	6	June	Jun	2	Quarter 2	Q2	20122	201206	Q2 2012	Jun 2012	Jun-12	Quarter 2 2012
